Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180724111727-7660-R02-C07	71	31095	437.958	2.965	255	255	111679.225
20180724111727-7661-R02-C07	45	19090	424.222	1.821	255	255	108176.667
20180724111727-7662-R02-C07	45	20513	455.844	1.956	255	255	116240.333
20180724111727-7663-R02-C07	59	33511	567.983	3.196	254.993	255	144831.356
20180724170127-13655-R02-C07	61	27924	457.770	2.663	255	255	116731.475
20180724170127-13656-R02-C07	57	22721	398.614	2.167	255	255	101646.579
20180724170127-13657-R02-C07	40	18916	472.900	1.804	255	255	120589.500
20180724170127-13658-R02-C07	58	28298	487.897	2.699	255	255	124413.621
20180724170127-13659-R02-C07	54	29039	537.759	2.769	255	255	137128.611
20180724170127-13660-R02-C07	74	34102	460.838	3.252	255	255	117513.649
20180724170127-13661-R02-C07	39	18643	478.026	1.778	254.963	255	121890.000
20180724170127-13662-R02-C07	41	20441	498.561	1.949	255	255	127133.049
20180724170127-13663-R02-C07	59	30304	513.627	2.890	255	255	130974.915
20180725093217-3875-R02-C07	62	28362	457.452	2.705	255	255	116650.161
20180725093217-3876-R02-C07	67	28824	430.209	2.749	255	255	109703.284
20180725093217-3877-R02-C07	47	22732	483.660	2.168	255	255	123333.191
20180725093217-3878-R02-C07	56	29960	535.000	2.857	255	255	136425.000
20180725093217-3879-R02-C07	66	34211	518.348	3.263	255	255	132178.864
20180725093217-3880-R02-C07	71	34580	487.042	3.298	254.989	255	124192.183
20180725093217-3881-R02-C07	54	23108	427.926	2.204	255	255	109121.111
20180725093217-3882-R02-C07	47	25873	550.489	2.467	254.992	255	140369.362
20180725093217-3883-R02-C07	80	43731	546.638	4.171	255	255	139392.562
20180725162820-13655-R02-C07	63	29735	471.984	2.836	255	255	120355.952
20180725162820-13656-R02-C07	74	31714	428.568	3.024	255	255	109284.730
20180725162820-13657-R02-C07	44	23356	530.818	2.227	255	255	135358.636
20180725162820-13658-R02-C07	50	26475	529.500	2.525	255	255	135022.500
20180725162820-13659-R02-C07	68	33720	495.882	3.216	255	255	126450.000
20180725162820-13660-R02-C07	90	39709	441.211	3.787	255	255	112508.833
20180725162820-13661-R02-C07	77	36046	468.130	3.438	254.992	255	119369.805
20180725162820-13662-R02-C07	52	26070	501.346	2.486	255	255	127843.269
20180725162820-13663-R02-C07	81	42956	530.321	4.097	255	255	135231.852
20180726093120-3875-R02-C07	84	41407	492.940	3.949	255	255	125699.821
20180726093120-3876-R02-C07	78	34510	442.436	3.291	255	255	112821.154
20180726093120-3877-R02-C07	57	30456	534.316	2.905	255	255	136250.526
20180726093120-3878-R02-C07	59	30464	516.339	2.905	255	255	131666.441
20180726093120-3879-R02-C07	80	40984	512.300	3.909	255	255	130636.500
20180726093120-3880-R02-C07	106	52415	494.481	4.999	255	255	126092.689
