Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180724163050-10658-R02-C07	87	37862	435.195	3.611	255	255	110974.828
20180724163050-10659-R02-C07	69	34620	501.739	3.302	255	255	127943.478
20180724163050-10660-R02-C07	95	43903	462.137	4.187	255	255	117844.895
20180724163050-10661-R02-C07	66	30967	469.197	2.953	255	255	119645.227
20180724163050-10662-R02-C07	91	36646	402.703	3.495	255	255	102689.341
20180724163050-10663-R02-C07	64	27886	435.719	2.659	255	255	111108.281
20180725090552-875-R02-C07	216	97938	453.417	9.340	254.993	255	115620.069
20180725090552-876-R02-C07	199	82383	413.985	7.857	255	255	105566.156
20180725090552-877-R02-C07	185	84953	459.205	8.102	255	255	117097.378
20180725090552-878-R02-C07	112	48813	435.830	4.655	255	255	111136.741
20180725090552-879-R02-C07	114	51259	449.640	4.888	255	255	114658.289
20180725090552-880-R02-C07	123	58884	478.732	5.616	255	255	122076.585
20180725090552-881-R02-C07	90	42215	469.056	4.026	255	255	119609.167
20180725090552-882-R02-C07	111	47268	425.838	4.508	254.995	255	108586.351
20180725090552-883-R02-C07	99	42696	431.273	4.072	254.974	255	109969.394
20180725160029-10655-R02-C07	270	111052	411.304	10.591	255	255	104882.444
20180725160029-10656-R02-C07	204	88246	432.578	8.416	254.997	255	110306.250
20180725160029-10657-R02-C07	196	88962	453.888	8.484	254.989	255	115738.776
20180725160029-10658-R02-C07	135	61689	456.956	5.883	255	255	116523.667
